run_id,scenario,fault_type,affected_rank,delay_seconds,oom_injection,world_size,master_port,fault_iteration,total_iteration,workload_timeout,status
normal_trial_1_iter10_timeout60_20260714_234743,normal,no_fault,0,None,False,2,29611,None,10,60,completed
normal_trial_2_iter10_timeout60_20260714_234800,normal,no_fault,0,None,False,2,29612,None,10,60,completed
normal_trial_3_iter10_timeout60_20260714_234818,normal,no_fault,0,None,False,2,29613,None,10,60,completed
normal_trial_4_iter10_timeout60_20260714_234836,normal,no_fault,0,None,False,2,29614,None,10,60,completed
normal_trial_5_iter10_timeout60_20260714_234855,normal,no_fault,0,None,False,2,29615,None,10,60,completed
normal_trial_6_iter10_timeout60_20260714_234913,normal,no_fault,0,None,False,2,29616,None,10,60,completed
normal_trial_7_iter10_timeout60_20260714_234931,normal,no_fault,0,None,False,2,29617,None,10,60,completed
normal_trial_8_iter10_timeout60_20260714_234950,normal,no_fault,0,None,False,2,29618,None,10,60,completed
normal_trial_9_iter10_timeout60_20260714_235008,normal,no_fault,0,None,False,2,29619,None,10,60,completed
normal_trial_10_iter10_timeout60_20260714_235026,normal,no_fault,0,None,False,2,29620,None,10,60,completed
normal_trial_1_iter10_timeout60_20260715_002027,normal,no_fault,0,None,False,2,29611,None,10,60,completed
normal_trial_2_iter10_timeout60_20260715_002044,normal,no_fault,0,None,False,2,29612,None,10,60,completed
normal_trial_3_iter10_timeout60_20260715_002100,normal,no_fault,0,None,False,2,29613,None,10,60,completed
normal_trial_4_iter10_timeout60_20260715_002117,normal,no_fault,0,None,False,2,29614,None,10,60,completed
